feature,x,score
metro_pop,114943.5,-0.01373
metro_pop,116092.0,-0.01313
metro_pop,117370.5,-0.03225
metro_pop,117983.5,-0.04882
metro_pop,120153.0,-0.04899
metro_pop,122233.0,-0.04646
metro_pop,122719.0,-0.04579
metro_pop,123454.0,-0.04481
metro_pop,124628.0,-0.04301
metro_pop,125675.5,-0.04058
metro_pop,126196.5,-0.03876
metro_pop,129485.0,-0.03795
metro_pop,135556.0,-0.03674
metro_pop,142307.0,-0.03229
metro_pop,145283.5,-0.03068
metro_pop,147002.5,-0.00821
metro_pop,150281.0,-0.00607
metro_pop,154457.5,0.00318
metro_pop,156742.5,0.00528
metro_pop,157855.5,0.00767
metro_pop,159441.0,0.01597
metro_pop,163760.0,0.01714
metro_pop,168078.5,0.01883
metro_pop,169420.0,0.02122
metro_pop,172621.5,0.04442
metro_pop,177221.5,0.05561
metro_pop,179365.5,0.05775
metro_pop,188606.0,0.07127
metro_pop,191930.0,0.07228
metro_pop,196525.5,0.07295
metro_pop,198340.5,0.075
metro_pop,199981.0,0.07597
metro_pop,202196.0,0.07664
metro_pop,205110.0,0.07679
metro_pop,206442.5,0.07831
metro_pop,208001.0,0.08011
metro_pop,209958.0,0.08044
metro_pop,218697.0,0.08033
metro_pop,240355.0,0.08062
metro_pop,257282.5,0.08032
metro_pop,260241.5,0.08122
metro_pop,267455.0,0.08232
metro_pop,279035.0,0.08308
metro_pop,295750.0,0.0828
metro_pop,301106.5,0.08413
metro_pop,308062.0,0.08373
metro_pop,314606.5,0.084
metro_pop,324022.0,0.08403
metro_pop,334843.0,0.08545
metro_pop,343882.0,0.08552
metro_pop,350233.5,0.08579
metro_pop,357205.0,0.08659
metro_pop,372286.5,0.08589
metro_pop,390379.0,0.08613
metro_pop,394577.0,0.08521
metro_pop,404543.5,0.08481
metro_pop,413286.5,0.08454
metro_pop,421869.5,0.08541
metro_pop,430869.5,0.08671
metro_pop,452509.5,0.08739
metro_pop,468725.0,0.08733
metro_pop,486491.0,0.08858
metro_pop,512774.5,0.08772
metro_pop,538002.5,0.08652
metro_pop,570854.5,0.08576
metro_pop,591877.5,0.08669
metro_pop,595647.0,0.08505
metro_pop,608412.5,0.08489
metro_pop,619908.5,0.08182
metro_pop,620658.0,0.07264
metro_pop,621532.0,0.07073
metro_pop,626410.0,0.06787
metro_pop,643310.0,0.06603
metro_pop,683826.0,0.06407
metro_pop,729176.5,0.05991
metro_pop,789067.0,0.05584
metro_pop,821792.5,0.05043
metro_pop,834628.5,0.04714
metro_pop,905604.5,0.04305
metro_pop,1095447.0,0.03455
metro_pop,1270207.5,0.02819
metro_pop,1340095.0,-0.05297
metro_pop,1502213.5,-0.0721
metro_pop,1834548.5,-0.07572
metro_pop,3266025.0,-0.08478
metro_pop,6056830.5,-0.13818
distance_to_nearest_major_city_km,0.2020023788413208,0.43919
distance_to_nearest_major_city_km,0.5067509606993141,0.24902
distance_to_nearest_major_city_km,0.6320655863864042,0.21699
distance_to_nearest_major_city_km,0.6900851464112133,0.19768
distance_to_nearest_major_city_km,0.9221275252788304,0.18964
distance_to_nearest_major_city_km,0.9653241155224608,0.18438
distance_to_nearest_major_city_km,1.1294996240798703,0.16976
distance_to_nearest_major_city_km,1.4705522929799817,0.16395
distance_to_nearest_major_city_km,1.8112569442350535,0.15865
distance_to_nearest_major_city_km,1.9726836855880578,0.1514
distance_to_nearest_major_city_km,2.156588573257813,0.1175
distance_to_nearest_major_city_km,2.4266741394326563,0.10836
distance_to_nearest_major_city_km,2.570186279209567,0.10051
distance_to_nearest_major_city_km,4.917247613831793,0.08959
distance_to_nearest_major_city_km,5.735616617015355,0.08581
distance_to_nearest_major_city_km,7.726117222589234,0.08073
distance_to_nearest_major_city_km,10.138033993515535,0.07528
distance_to_nearest_major_city_km,11.309476435529216,0.06983
distance_to_nearest_major_city_km,12.76240262857331,0.0663
distance_to_nearest_major_city_km,13.109700712505973,0.061
distance_to_nearest_major_city_km,14.653677998565097,0.05709
distance_to_nearest_major_city_km,15.424591484684376,0.05289
distance_to_nearest_major_city_km,17.070373065078584,0.04983
distance_to_nearest_major_city_km,17.51299270688518,0.04451
distance_to_nearest_major_city_km,18.20420753637172,0.03985
distance_to_nearest_major_city_km,18.491871517599805,0.03285
distance_to_nearest_major_city_km,19.213975011425372,0.02912
distance_to_nearest_major_city_km,21.953156155256195,0.02637
distance_to_nearest_major_city_km,22.909436561615287,0.02458
distance_to_nearest_major_city_km,24.042085003165944,0.02175
distance_to_nearest_major_city_km,25.474307084168906,0.02043
distance_to_nearest_major_city_km,26.338134565432316,0.02072
distance_to_nearest_major_city_km,27.844126071971694,0.01735
distance_to_nearest_major_city_km,29.208273821821955,0.01489
distance_to_nearest_major_city_km,30.96258407870352,0.01347
distance_to_nearest_major_city_km,32.1330802762065,0.01229
distance_to_nearest_major_city_km,34.11106796154197,0.01153
distance_to_nearest_major_city_km,35.124829451181874,0.01122
