interaction,x,y,score
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,10,0.01709
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,11,0.01691
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,12,0.01486
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,13,0.01456
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,14,0.01323
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,15,0.01236
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,16,0.00815
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,17,-0.00066
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,18,-0.00193
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,19,-0.00283
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,20,-0.0087
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,21,-0.00983
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,22,-0.01616
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,23,-0.01724
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,24,-0.01924
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,25,-0.01993
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,26,-0.02006
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,27,-0.02058
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,28,-0.02075
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,29,-0.02418
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,30,-0.03686
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,31,-0.03858
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,32,-0.04306
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,33,-0.04485
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,34,-0.04552
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,35,-0.046
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,36,-0.04643
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,37,-0.04668
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,38,-0.04517
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,39,-0.00183
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,40,-0.00208
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,41,-0.00414
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,42,-0.00438
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,43,-0.00441
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,44,-0.00472
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,45,-0.00455
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,46,-0.00469
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,47,-0.00417
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,48,-0.00281
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,49,0.01743
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,50,0.01733
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,51,0.02104
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,52,0.0213
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,53,0.01671
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,54,0.01324
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,55,-0.01425
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,56,-0.01451
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,57,-0.01911
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,58,-0.0192
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,59,-0.01926
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,60,-0.01893
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,1,61,-0.01898
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,0,0.14085
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,1,0.14336
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,2,0.14848
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,3,0.148
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,4,0.03749
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,5,0.03656
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,6,0.03447
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,7,0.03164
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,8,0.02979
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,9,0.02418
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,10,0.0242
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,11,0.02402
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,12,0.02225
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,13,0.02195
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,14,0.02083
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,2,15,0.02017
