label,rmse_log,r2
Fold 1,0.9256093309447527,0.7124240609280598
Fold 2,0.7430453751228911,0.8274026164963459
Fold 3,0.7506832208711778,0.7883098528435915
Fold 4,0.8745694986322441,0.7350507455900053
Fold 5,0.9852917851120752,0.6689981717811087
CV (OOF),0.8568932751094573,0.7521787550766077
