code,station_name,map_station,state_abbr,City,lat,lon,station_type,annual_ridership,match_method,has_heavy_rail,has_commuter_rail,has_light_rail,has_transit_bus,has_intercity_bus,has_air_connection,has_bikeshare,modes_served,is_metro_area,CBSA_TYPE,metro_pop,distance_to_nearest_major_city_km,num_nearby_stations,is_northeast_corridor,weekly_departures,num_routes_served,is_terminal,avg_dwell_time_sec,service_span_hours,avg_stop_sequence_pct,num_directions,avg_route_length_km,max_route_length_km,weekly_trips,pct_long_distance,pct_drove_alone,pct_public_transit,pct_rail_commute,pct_walked,pct_work_from_home,median_household_income,college_enrollment_15km
CWH,"Cornwells Heights, PA","Cornwells Heights, Pennsylvania",PA,Cornwells Heights,40.071663,-74.952187,Platform with Shelter,3012.0,coord(0.06km),0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1539313.0,22.378978863185775,18,1,72.0,1.0,0.0,60.0,12.283333333333331,0.4455337690631808,2.0,249.7712699522004,249.7712699522004,72.0,0.0,0.720479495725695,0.0213639701327467,0.0155833089072948,0.0124346162795265,0.1728910256216552,111951.0,19286.0
CWT,"Chatsworth, CA","Chatsworth, California",CA,Chatsworth,34.253205,-118.599417,Platform with Shelter,58788.0,coord(0.44km),0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3826423.0,39.61460639297895,12,0,126.0,1.0,0.0,70.9090909090909,14.933333333333334,0.5173545684765135,2.0,429.21307327684985,429.2130732768498,126.0,0.0,0.6635378427669828,0.0424863811261555,0.0012650878676097,0.024279358942809,0.1517737794229091,87760.0,56239.0
CYN,"Cary, NC","Cary, North Carolina",NC,Cary,35.788294,-78.782246,Station Building (with waiting room),144942.0,coord(0.24km),0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,414135.0,196.7003782321536,6,0,131.0,3.0,0.0,192.0,37.56666666666667,0.515115198810851,2.0,815.820517667747,1906.2991455185656,131.0,0.6666666666666666,0.6438499407451177,0.006624264293373,0.0001029076387344,0.0126178043493415,0.2602666967643847,101763.0,43509.0
DAL,"Dallas, TX","Dallas, Texas",TX,Dallas,32.776094,-96.807235,Station Building (with waiting room),61939.0,coord(0.06km),0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1219399.0,0.966360928175228,2,0,48.0,1.0,0.0,1500.0,24.0,0.53314621758888,2.0,2802.420687273947,2802.420687273947,48.0,1.0,0.7042899181097719,0.0163417734316335,0.0010920240569426,0.0155507312702439,0.1386870552317213,74149.0,99658.0
DAN,"Danville, VA","Danville, Virginia",VA,Danville,36.58409,-79.383968,Station Building (with waiting room),8324.0,coord(0.05km),0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,17780.0,200.09345350813413,3,0,64.0,1.0,0.0,120.0,9.066666666666666,0.5297119804859743,2.0,1884.3234310848925,1884.3234310848925,64.0,1.0,0.7695239285268024,0.0164313382481569,0.0,0.0123078845432962,0.0801574409596401,42778.0,3993.0
DAV,"Davis, CA","Davis, California",CA,Davis,38.543562,-121.737707,Station Building (with waiting room),275354.0,coord(0.08km),0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,471625.0,103.79329364954356,11,0,566.0,3.0,0.0,117.0,66.2,0.5423552955665024,2.0,240.80507085580064,2971.0773284555503,566.0,0.6666666666666666,0.6369852890461035,0.0244755589275685,0.0027293598321,0.0275596370049956,0.172353654090591,88818.0,43371.0
DDG,"Dodge City, KS","Dodge City, Kansas",KS,Dodge City,37.752306,-100.016961,Station Building (with waiting room),4682.0,coord(0.05km),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,27804.0,337.6419829475857,1,0,14.0,1.0,0.0,360.0,18.483333333333334,0.515625,2.0,2802.420687273947,2802.420687273947,14.0,1.0,0.8164368584097673,0.0,0.0,0.009172082852457,0.0210168256089412,70495.0,1757.0
DEM,"Deming, NM","Deming, New Mexico",NM,Deming,32.27177,-107.754346,Platform with Shelter,1523.0,coord(0.61km),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,14867.0,128.73009025615806,0,0,42.0,2.0,0.0,0.0,50.833333333333336,0.5465116279069767,2.0,2769.035463748684,2802.420687273947,42.0,1.0,0.7710165318325712,0.0038691523039043,0.0,0.017235314808301,0.054871614491734,37917.0,0.0
DEN,"Denver, CO","Denver, Colorado",CO,Denver,39.752959,-104.999929,Station Building (with waiting room),151915.0,coord(0.75km),0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,619390.0,2.0127111748415953,2,0,14.0,1.0,0.0,2460.0,10.216666666666669,0.5142857142857142,2.0,2971.0773284555503,2971.0773284555503,14.0,1.0,0.5767687937726317,0.0452139513480826,0.0012889361097258,0.039195703867531,0.2441534098985474,91681.0,95234.0
DER,"Dearborn, MI","Dearborn, Michigan",MI,Dearborn,42.307167,-83.235311,Station Building (with waiting room),67715.0,coord(2.88km),0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,702149.0,15.388034408992011,6,0,102.0,1.0,0.0,85.16129032258064,16.883333333333333,0.5244862664217502,2.0,367.42038077740983,367.42038077740983,102.0,0.0,0.7300455680323559,0.0215309290822995,0.0001000306850885,0.0169849399748301,0.1238055457552519,59521.0,50129.0
DET,"Detroit, MI","Detroit, Michigan",MI,Detroit,42.368097,-83.072397,Station Building (with waiting room),74610.0,coord(0.03km),0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,702149.0,2.5149744152816815,6,0,102.0,1.0,0.0,135.48387096774192,17.733333333333334,0.5100061229093487,2.0,367.42038077740983,367.42038077740983,102.0,0.0,0.7300455680323559,0.0215309290822995,0.0001000306850885,0.0169849399748301,0.1238055457552519,59521.0,63707.0
